Datetime,NVDA,AMZN,AAPL,TSLA,BAC
2024-01-02 09:30:00-05:00,14594455,12877963,21173291,36427280,7372976
2024-01-02 10:30:00-05:00,5739769,5385584,9010595,16932853,4591005
2024-01-02 11:30:00-05:00,4327283,4647258,6143754,12121725,3841190
2024-01-02 12:30:00-05:00,4118649,2779099,5381701,9300163,3819063
2024-01-02 13:30:00-05:00,2905160,2593717,7228643,8770028,3061734
2024-01-02 14:30:00-05:00,3329151,4052668,8238940,9630581,3120505
2024-01-02 15:30:00-05:00,3450485,5602410,9447841,7973090,5372981
2024-01-03 09:30:00-05:00,10998649,10978736,15935130,40913390,9594802
2024-01-03 10:30:00-05:00,4999551,5382233,7040280,18878080,4437520
2024-01-03 11:30:00-05:00,2389099,4397924,5295920,13218333,3938970
2024-01-03 12:30:00-05:00,2458234,3402668,3968490,10145368,4234870
2024-01-03 13:30:00-05:00,3068400,3866756,4500805,12651798,4937249
2024-01-03 14:30:00-05:00,2466427,3905637,4256338,12699859,4572180
2024-01-03 15:30:00-05:00,2855411,5479687,5053608,7664219,6318511
2024-01-04 09:30:00-05:00,8061891,17588976,16075231,31465260,7977650
2024-01-04 10:30:00-05:00,5778816,5669623,10313237,17206314,5087004
2024-01-04 11:30:00-05:00,4061918,3972158,7509793,11727668,3913105
2024-01-04 12:30:00-05:00,2479489,4031141,4961844,9243366,2670598
2024-01-04 13:30:00-05:00,2472828,3748257,4172442,10211070,3272742
2024-01-04 14:30:00-05:00,2671030,3381439,6011068,11165320,3774228
2024-01-04 15:30:00-05:00,2878447,6678876,7594098,7923570,6332567
2024-01-05 09:30:00-05:00,10170620,10765468,13194900,30252931,10017819
2024-01-05 10:30:00-05:00,8336264,4698891,5524889,13771103,6830282
2024-01-05 11:30:00-05:00,5043687,2808005,4494198,11254227,5301008
2024-01-05 12:30:00-05:00,4164076,2585944,4262774,9636882,5084500
2024-01-05 13:30:00-05:00,3000157,2828103,9901415,9676695,3088919
2024-01-05 14:30:00-05:00,4554575,4635088,7993182,9461568,4436545
2024-01-05 15:30:00-05:00,3473997,5476812,6775472,5783967,5571875
2024-01-08 09:30:00-05:00,22741308,10695580,13311025,25738913,11045252
2024-01-08 10:30:00-05:00,8335157,4100636,5198974,13642686,4025805
2024-01-08 11:30:00-05:00,6400994,3061541,5720535,10782053,4317273
2024-01-08 12:30:00-05:00,4393512,2832465,4151910,8458017,2305184
2024-01-08 13:30:00-05:00,5907820,3089194,3724042,9095207,2968776
2024-01-08 14:30:00-05:00,6023125,5092934,5370765,8604334,3900284
2024-01-08 15:30:00-05:00,5924981,4835996,6759299,5631978,6044740
2024-01-09 09:30:00-05:00,19204795,10030512,10523629,31344281,7701962
2024-01-09 10:30:00-05:00,9961725,5754650,4602813,16237364,4677998
2024-01-09 11:30:00-05:00,10634586,3775952,3908469,12078110,3303460
2024-01-09 12:30:00-05:00,9841087,5313652,2818553,9092026,2470162
2024-01-09 13:30:00-05:00,8988418,3591093,3180445,9923972,3392851
2024-01-09 14:30:00-05:00,8243584,3315047,3646429,8441947,4852124
2024-01-09 15:30:00-05:00,7265096,4420342,6123108,6739054,5426521
2024-01-10 09:30:00-05:00,18112031,12211623,8558186,26481426,5453223
2024-01-10 10:30:00-05:00,9110179,5033522,5574178,14928391,4089780
2024-01-10 11:30:00-05:00,5140692,3726954,3427864,10268870,3824046
2024-01-10 12:30:00-05:00,4551805,4061596,3133102,10698934,3468296
2024-01-10 13:30:00-05:00,3873744,3735990,3976057,9742673,3422023
2024-01-10 14:30:00-05:00,5463821,4058065,7533201,9832697,5402265
2024-01-10 15:30:00-05:00,4504510,5082404,5937690,6976760,5122531
2024-01-11 09:30:00-05:00,17617566,15716011,13337967,37046853,10046767
2024-01-11 10:30:00-05:00,8414594,6525977,5619114,16895972,7025475
2024-01-11 11:30:00-05:00,6339827,5207343,3849444,11284227,5081566
2024-01-11 12:30:00-05:00,8134249,4397522,4000614,9271783,3991390
2024-01-11 13:30:00-05:00,6505633,3808799,3924789,9658588,3838809
2024-01-11 14:30:00-05:00,6188854,3846636,4502053,10248789,4735288
2024-01-11 15:30:00-05:00,4360177,4055155,5030776,7656066,7346330
2024-01-12 09:30:00-05:00,11140181,11501095,8367726,39270458,18664321
2024-01-12 10:30:00-05:00,6475778,4486586,4645419,18151945,14499187
2024-01-12 11:30:00-05:00,3950607,3352250,3521446,21626644,11560799
2024-01-12 12:30:00-05:00,2322889,2524775,2308362,11164129,4901493
2024-01-12 13:30:00-05:00,3694068,2711755,2732716,10657445,6341022
2024-01-12 14:30:00-05:00,3220345,2869051,3823230,11259235,6019346
2024-01-12 15:30:00-05:00,2230050,3699745,4865441,7810716,7599863
2024-01-16 09:30:00-05:00,12991490,10444666,16725135,42524626,11686443
2024-01-16 10:30:00-05:00,9227517,5367432,11408997,20993815,8847920
2024-01-16 11:30:00-05:00,5781117,3532242,5404103,14187266,4894254
2024-01-16 12:30:00-05:00,3592125,4011410,4292807,9992065,4297685
2024-01-16 13:30:00-05:00,4001190,3151458,6561011,9025849,4726849
2024-01-16 14:30:00-05:00,3099777,3789142,4502430,9002380,5945721
2024-01-16 15:30:00-05:00,3168916,3103776,4776796,6255499,9538396
