date,TSLA_first_hour_vol,mean,std,abs_sentiment_score,news_count,is_option_expiry,is_first_trading_day,is_last_trading_day,is_last_trading_day_of_quarter,Friday,Monday,Thursday,Tuesday,Wednesday,day_total_vol
1/2/2024,3.642728,0.249787192,0.360835683,0.315842468,31,0,1,0,0,0,0,0,1,0,101155720
1/3/2024,4.091339,0.118212553,0.346185825,0.230459634,30,0,0,0,0,0,0,0,0,1,116171047
1/4/2024,3.146526,0.238165704,0.455236931,0.386340856,16,0,0,0,0,0,0,1,0,0,98942568
1/5/2024,3.0252931,-0.068738021,0.229072042,0.14958965,22,0,0,0,0,1,0,0,0,0,89837373
1/8/2024,2.5738913,0.178593547,0.402760916,0.347575819,19,0,0,0,0,0,1,0,0,0,81953188
1/9/2024,3.1344281,0.047401404,0.379683402,0.244505924,9,0,0,0,0,0,0,0,1,0,93856754
1/10/2024,2.6481426,0.154494547,0.392431674,0.302022662,15,0,0,0,0,0,0,0,0,1,88929751
1/11/2024,3.7046853,0.10679833,0.251280857,0.192443051,19,0,0,0,0,0,0,1,0,0,102062278
1/12/2024,3.9270458,-0.1341344,0.277602004,0.208765669,31,0,0,0,0,1,0,0,0,0,119940572
1/16/2024,4.2524626,0.014554327,0.395533128,0.312384414,43,0,0,0,0,0,0,0,1,0,111981500
1/17/2024,3.3528396,-0.014634373,0.338686321,0.245064973,24,0,0,0,0,0,0,0,0,1,100065887
1/18/2024,2.7637121,-0.014687283,0.23342464,0.179923081,24,0,0,0,0,0,0,1,0,0,103181982
1/19/2024,2.9389487,-0.03781024,0.220500014,0.154401066,5,1,0,0,0,1,0,0,0,0,98758989
1/22/2024,3.5280778,0.141961479,0.440685499,0.353340471,34,0,0,0,0,0,1,0,0,0,113763693
1/23/2024,3.6119303,0.303067877,0.26286896,0.303067877,11,0,0,0,0,0,0,0,1,0,102466247
1/24/2024,3.0117905,0.098949541,0.346789468,0.26797564,17,0,0,0,0,0,0,0,0,1,103900279
1/25/2024,7.0997069,0.019982258,0.327411749,0.233200114,101,0,0,0,0,0,0,1,0,0,192401108
1/26/2024,3.9118435,0.14630315,0.358487816,0.28550621,39,0,0,0,0,1,0,0,0,0,104149375
1/29/2024,3.0072189,0.134227891,0.32601881,0.295530276,22,0,0,0,0,0,1,0,0,0,118869077
1/30/2024,3.5160197,0.245283889,0.380479217,0.33170701,16,0,0,0,0,0,0,0,1,0,102776243
1/31/2024,2.5540005,-0.118426268,0.301374406,0.243909747,48,0,0,1,0,0,0,0,0,1,97672361
2/1/2024,2.4167624,-0.046693718,0.349561197,0.25919358,30,0,1,0,0,0,0,1,0,0,88300363
2/2/2024,3.0650463,-0.069918708,0.311961196,0.210300879,25,0,0,0,0,1,0,0,0,0,106709784
2/5/2024,3.3863217,0.016324666,0.31101374,0.224020371,28,0,0,0,0,0,1,0,0,0,130117905
2/6/2024,4.2763774,-0.151596401,0.343663576,0.292467183,7,0,0,0,0,0,0,0,1,0,119351073
2/7/2024,3.8283416,-0.046261704,0.33345799,0.274053439,22,0,0,0,0,0,0,0,0,1,107376439
2/8/2024,2.327183,0.046602021,0.172364052,0.123080231,10,0,0,0,0,0,0,1,0,0,81138849
2/9/2024,2.8110232,-0.085304112,0.355167766,0.292241233,4,0,0,0,0,1,0,0,0,0,82040122
2/12/2024,2.5584046,0.199766962,0.268717927,0.2382715,19,0,0,0,0,0,1,0,0,0,92688828
2/13/2024,2.7029323,0.002356402,0.353421708,0.288916526,11,0,0,0,0,0,0,0,1,0,83507119
2/14/2024,2.3235462,0.021869873,0.214674615,0.173090603,23,0,0,0,0,0,0,0,0,1,73952577
2/15/2024,3.1060806,0.196236027,0.372964582,0.306332232,11,0,0,0,0,0,0,1,0,0,115449794
2/16/2024,3.6686761,-0.032256036,0.238513788,0.170687291,9,1,0,0,0,1,0,0,0,0,108015708
2/20/2024,3.1821711,0.007655881,0.319559619,0.235908732,23,0,0,0,0,0,0,0,1,0,100299393
2/21/2024,3.1916156,-0.046070647,0.426664004,0.351009616,7,0,0,0,0,0,0,0,0,1,99693115
2/22/2024,2.5080297,-0.026082046,0.183856652,0.122651003,4,0,0,0,0,0,0,1,0,0,88316417
2/23/2024,2.2848415,-0.07626596,0.365757787,0.256442633,10,0,0,0,0,1,0,0,0,0,76229046
2/26/2024,3.1238191,0.100566666,0.297340116,0.235905579,16,0,0,0,0,0,1,0,0,0,108572208
